rows	columns	distances
25x_ACC_DA10029	25x_PL_DA10040	0.457621
25x_ACC_DA10040	25x_PL_DA10040	0.171085
25x_K_DA10001	25x_PL_DA10040	0.411114
25x_K_DA10016	25x_PL_DA10040	0.680467
25x_K_DA10029	25x_PL_DA10040	0.480576
25x_K_DA10040	25x_PL_DA10040	0.190018
25x_PHU_DA10001	25x_PL_DA10040	0.371871
25x_PHU_DA10016	25x_PL_DA10040	0.684666
25x_PHU_DA10029	25x_PL_DA10040	0.440669
25x_PHU_DA10040	25x_PL_DA10040	0.158261
25x_PL_DA10001	25x_PL_DA10040	0.363874
25x_PL_DA10016	25x_PL_DA10040	0.683495
25x_PL_DA10029	25x_PL_DA10040	0.432964
20x_ACC_DA10040	25x_Q5_DA10001	0.353869
20x_K_DA10001	25x_Q5_DA10001	0.211377
20x_K_DA10040	25x_Q5_DA10001	0.356927
20x_PHU_DA10001	25x_Q5_DA10001	0.199948
20x_PHU_DA10016	25x_Q5_DA10001	0.632163
20x_PHU_DA10029	25x_Q5_DA10001	0.474486
20x_PHU_DA10040	25x_Q5_DA10001	0.395517
20x_PL_DA10001	25x_Q5_DA10001	0.214685
20x_PL_DA10016	25x_Q5_DA10001	0.629112
20x_PL_DA10029	25x_Q5_DA10001	0.475941
20x_PL_DA10040	25x_Q5_DA10001	0.370717
20x_Q5_DA10001	25x_Q5_DA10001	0.192782
20x_Q5_DA10016	25x_Q5_DA10001	0.625607
20x_Q5_DA10029	25x_Q5_DA10001	0.487862
20x_Q5_DA10040	25x_Q5_DA10001	0.405189
25x_ACC_DA10001	25x_Q5_DA10001	0.207157
25x_ACC_DA10016	25x_Q5_DA10001	0.632105
25x_ACC_DA10029	25x_Q5_DA10001	0.482863
25x_ACC_DA10040	25x_Q5_DA10001	0.367107
25x_K_DA10001	25x_Q5_DA10001	0.209841
25x_K_DA10016	25x_Q5_DA10001	0.627666
25x_K_DA10029	25x_Q5_DA10001	0.489996
25x_K_DA10040	25x_Q5_DA10001	0.387635
25x_PHU_DA10001	25x_Q5_DA10001	0.185089
25x_PHU_DA10016	25x_Q5_DA10001	0.62583
25x_PHU_DA10029	25x_Q5_DA10001	0.493329
25x_PHU_DA10040	25x_Q5_DA10001	0.39628
25x_PL_DA10001	25x_Q5_DA10001	0.170095
25x_PL_DA10016	25x_Q5_DA10001	0.626335
25x_PL_DA10029	25x_Q5_DA10001	0.474422
25x_PL_DA10040	25x_Q5_DA10001	0.378448
20x_ACC_DA10040	25x_Q5_DA10016	0.684396
20x_K_DA10001	25x_Q5_DA10016	0.634176
20x_K_DA10040	25x_Q5_DA10016	0.680215
20x_PHU_DA10001	25x_Q5_DA10016	0.649837
20x_PHU_DA10016	25x_Q5_DA10016	0.189199
20x_PHU_DA10029	25x_Q5_DA10016	0.548489
